# Declare spectators {flav1:weight1,flav2,weight2,...}
SPECTATORS     | {1:1.}


# outgoing part. 	 | BR(Delta BR) 	 [Origin] 	 | DC-file

## (semi)leptonic decays

# b -> c l nu
{30443,10313}    | 0.00029[EvtGen]     | B_psi3770K11270.dat;
{443,315}        | 0.0005[EvtGen]      | B_Jpsi1SK2star1430.dat;

{443,211,-211}   | 3e-05(9e-06)[PDG]     | B_Jpsi1Spi+pi-.dat;
{443,321,-211}   | 3.1e-4[PDG]      | B_Jpsi1SK+pi-.dat;
{443,311,111}    | 0.0001[EvtGen]      | B_Jpsi1SKpi.dat;
{443,310,221}    | 8e-05(4e-05)[PDG]     | B_Jpsi1SKSeta.dat;
{443,311,211,-211}       | 0.00046(0.0004)[PDG]  | B_Jpsi1SKpi+pi-.dat;
{443,311,113}    | 0.00054(0.0003)[PDG]  | B_Jpsi1SKrho770.dat;
{443,323,-211}   | 0.0008(0.0004)[PDG]   | B_Jpsi1SKstar892+pi-.dat;
{443,313,211,-211}       | 0.00066(0.00022)[PDG]         | B_Jpsi1SKstar892pi+pi-.dat;
{443,333,310}    | 9.4e-5(2.6e-5)[PDG]       | B_Jpsi1Sphi1020KS.dat;
{100443,321,-211}        | 5e-4[PDG<1e-3]      | B_psi2SK+pi-.dat;
{100443,311,111}         | 0.0002[EvtGen]      | B_psi2SKpi.dat;
{100443,311,211,-211}    | 0.0002[EvtGen]      | B_psi2SKpi+pi-.dat;
{100443,311,111,111}     | 0.0001[EvtGen]      | B_psi2SKpipi.dat;
{100443,321,-211,111}    | 0.0001[EvtGen]      | B_psi2SK+pi-pi.dat;
{30443,321,-211}         | 0.00014[EvtGen]     | B_psi3770K+pi-.dat;
{30443,311,111}  | 0.00014[EvtGen]     | B_psi3770Kpi.dat;
{30443,311,211,-211}     | 0.00014[EvtGen]     | B_psi3770Kpi+pi-.dat;
{30443,311,111,111}      | 7e-05[EvtGen]       | B_psi3770Kpipi.dat;
{30443,321,-211,111}     | 7e-05[EvtGen]       | B_psi3770K+pi-pi.dat;

# 0-+ (eta_c)
{441,311}        | 9.9e-4(1.9e-4)[PDG]    | B_etac1SK.dat;
{100441,311}     | 0.00048[EvtGen]   | B_etac2SK.dat;
{441,313}        | 1.6e-3(0.7e-3)[PDG]   | B_etac1SKstar892.dat;
{100441,313}     | 0.00066[EvtGen]   | B_etac2SKstar892.dat;
{441,321,-211}   | 0.0002[EvtGen]      | B_etac1SK+pi-.dat;
{441,311,111}    | 0.0001[EvtGen]      | B_etac1SKpi.dat;
{441,311,211,-211}       | 0.0002[EvtGen]      | B_etac1SKpi+pi-.dat;
{441,311,111,111}        | 0.0001[EvtGen]      | B_etac1SKpipi.dat;
{441,321,-211,111}       | 0.0001[EvtGen]      | B_etac1SK+pi-pi.dat;
{100441,321,-211}        | 8e-05[EvtGen]       | B_etac2SK+pi-.dat;
{100441,311,111}         | 5e-05[EvtGen]       | B_etac2SKpi.dat;
{100441,311,211,-211}    | 8e-05[EvtGen]       | B_etac2SKpi+pi-.dat;
{100441,311,111,111}     | 5e-05[EvtGen]       | B_etac2SKpipi.dat;
{100441,321,-211,111}    | 5e-05[EvtGen]       | B_etac2SK+pi-pi.dat;

# 0++ (chi_c0(1P))
{10441,311}      | 3.0e-4[PDG<5e-4]   | B_chic01PK.dat;
{10441,313}      | 3.0e-4[PDG<7.7e-4]       | B_chic01PKstar892.dat;
{10441,321,-211}         | 0.0002[EvtGen]      | B_chic01PK+pi-.dat;
{10441,311,111}  | 0.0001[EvtGen]      | B_chic01PKpi.dat;
{10441,311,211,-211}     | 0.0002[EvtGen]      | B_chic01PKpi+pi-.dat;
{10441,311,111,111}      | 0.0001[EvtGen]      | B_chic01PKpipi.dat;
{10441,321,-211,111}     | 0.0001[EvtGen]      | B_chic01PK+pi-pi.dat;

# 1++ (chi_c1(1P))
{20443,311}      | 3.9e-4(0.4e-4)[PDG]   | B_chic11PK.dat;
{20443,313}      | 3.2e-4(0.6e-4)[PDG]        | B_chic11PKstar892.dat;
{20443,321,-211}         | 0.0004[EvtGen]      | B_chic11PK+pi-.dat;
{20443,311,111}  | 0.0002[EvtGen]      | B_chic11PKpi.dat;
{20443,311,211,-211}     | 0.0004[EvtGen]      | B_chic11PKpi+pi-.dat;
{20443,311,111,111}      | 0.0002[EvtGen]      | B_chic11PKpipi.dat;
{20443,321,-211,111}     | 0.0002[EvtGen]      | B_chic11PK+pi-pi.dat;

# 2++ (chi_c2(1P))
{445,311}        | 1e-06[PDG<2.6e-5]     | B_chic21PK.dat;
